"","chem.name","route","input.units","dosing.initialdose","dosing.dosesperday","dosing.dailydose","dosing.dosing.matrix","species","model","initial.values","times","days","method","tsteps","rtol","atol","recalc.blood2plasma","restrictive.clearance","adjusted.Funbound.plasma","minimum.Funbound.plasma","default.to.human","regression","Caco2.Pab.default","Caco2.Fabs","Caco2.Fgut","overwrite.invivo","keepit100","Compound","CAS","CAS.Checksum","DTXSID","Formula","All.Compound.Names","logHenry","logHenry.Reference","logMA","logMA.Reference","logP","logP.Reference","logPwa","logPwa.Reference","logWSol","logWSol.Reference","MP","MP.Reference","MW","MW.Reference","pKa_Accept","pKa_Accept.Reference","pKa_Donor","pKa_Donor.Reference","All.Species","Dog.Foral","Dog.Foral.Reference","DTXSID.Reference","Formula.Reference","Human.Caco2.Pab","Human.Caco2.Pab.Reference","Human.Clint","Human.Clint.pValue","Human.Clint.pValue.Reference","Human.Clint.Reference","Human.Fabs","Human.Fabs.Reference","Human.Fgut","Human.Fgut.Reference","Human.Fhep","Human.Fhep.Reference","Human.Foral","Human.Foral.Reference","Human.Funbound.plasma","Human.Funbound.plasma.Reference","Human.Rblood2plasma","Human.Rblood2plasma.Reference","Monkey.Foral","Monkey.Foral.Reference","Mouse.Foral","Mouse.Foral.Reference","Mouse.Funbound.plasma","Mouse.Funbound.plasma.Reference","Rabbit.Funbound.plasma","Rabbit.Funbound.plasma.Reference","Rat.Clint","Rat.Clint.pValue","Rat.Clint.pValue.Reference","Rat.Clint.Reference","Rat.Foral","Rat.Foral.Reference","Rat.Funbound.plasma","Rat.Funbound.plasma.Reference","Rat.Rblood2plasma","Rat.Rblood2plasma.Reference","Chemical.Class"
"77-40-7","Bisphenol b","oral","mg/kg","NULL","NULL","NULL","0,0.208333333333333,0.416666666666667,1,1.20833333333333,1.41666666666667,2,2.20833333333333,2.41666666666667,3,3.20833333333333,3.41666666666667,4,4.20833333333333,4.41666666666667,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06","Human","pbtk","0,0,0,0,0,0,0,0,0,0,0","0,0.0104,0.0208,0.0312,0.0416,0.052,0.0624,0.0728,0.0832,0.0936,0.104,0.1144,0.1248,0.1352,0.1456,0.156,0.1664,0.1768,0.1872,0.1976,0.208,0.2184,0.2288,0.2392,0.2496,0.26,0.2704,0.2808,0.2912,0.3016,0.312,0.3224,0.3328,0.3432,0.3536,0.364,0.3744,0.3848,0.3952,0.4056,0.416,0.4264,0.4368,0.4472,0.4576,0.468,0.4784,0.4888,0.4992,0.5096,0.52,0.5304,0.5408,0.5512,0.5616,0.572,0.5824,0.5928,0.6032,0.6136,0.624,0.6344,0.6448,0.6552,0.6656,0.676,0.6864,0.6968,0.7072,0.7176,0.728,0.7384,0.7488,0.7592,0.7696,0.78,0.7904,0.8008,0.8112,0.8216,0.832,0.8424,0.8528,0.8632,0.8736,0.884,0.8944,0.9048,0.9152,0.9256,0.936,0.9464,0.9568,0.9672,0.9776,0.988,0.9984,1.0088,1.0192,1.0296,1.04,1.0504,1.0608,1.0712,1.0816,1.092,1.1024,1.1128,1.1232,1.1336,1.144,1.1544,1.1648,1.1752,1.1856,1.196,1.2064,1.2168,1.2272,1.2376,1.248,1.2584,1.2688,1.2792,1.2896,1.3,1.3104,1.3208,1.3312,1.3416,1.352,1.3624,1.3728,1.3832,1.3936,1.404,1.4144,1.4248,1.4352,1.4456,1.456,1.4664,1.4768,1.4872,1.4976,1.508,1.5184,1.5288,1.5392,1.5496,1.56,1.5704,1.5808,1.5912,1.6016,1.612,1.6224,1.6328,1.6432,1.6536,1.664,1.6744,1.6848,1.6952,1.7056,1.716,1.7264,1.7368,1.7472,1.7576,1.768,1.7784,1.7888,1.7992,1.8096,1.82,1.8304,1.8408,1.8512,1.8616,1.872,1.8824,1.8928,1.9032,1.9136,1.924,1.9344,1.9448,1.9552,1.9656,1.976,1.9864,1.9968,2.0072,2.0176,2.028,2.0384,2.0488,2.0592,2.0696,2.08,2.0904,2.1008,2.1112,2.1216,2.132,2.1424,2.1528,2.1632,2.1736,2.184,2.1944,2.2048,2.2152,2.2256,2.236,2.2464,2.2568,2.2672,2.2776,2.288,2.2984,2.3088,2.3192,2.3296,2.34,2.3504,2.3608,2.3712,2.3816,2.392,2.4024,2.4128,2.4232,2.4336,2.444,2.4544,2.4648,2.4752,2.4856,2.496,2.5064,2.5168,2.5272,2.5376,2.548,2.5584,2.5688,2.5792,2.5896,2.6,2.6104,2.6208,2.6312,2.6416,2.652,2.6624,2.6728,2.6832,2.6936,2.704,2.7144,2.7248,2.7352,2.7456,2.756,2.7664,2.7768,2.7872,2.7976,2.808,2.8184,2.8288,2.8392,2.8496,2.86,2.8704,2.8808,2.8912,2.9016,2.912,2.9224,2.9328,2.9432,2.9536,2.964,2.9744,2.9848,2.9952,3.0056,3.016,3.0264,3.0368,3.0472,3.0576,3.068,3.0784,3.0888,3.0992,3.1096,3.12,3.1304,3.1408,3.1512,3.1616,3.172,3.1824,3.1928,3.2032,3.2136,3.224,3.2344,3.2448,3.2552,3.2656,3.276,3.2864,3.2968,3.3072,3.3176,3.328,3.3384,3.3488,3.3592,3.3696,3.38,3.3904,3.4008,3.4112,3.4216,3.432,3.4424,3.4528,3.4632,3.4736,3.484,3.4944,3.5048,3.5152,3.5256,3.536,3.5464,3.5568,3.5672,3.5776,3.588,3.5984,3.6088,3.6192,3.6296,3.64,3.6504,3.6608,3.6712,3.6816,3.692,3.7024,3.7128,3.7232,3.7336,3.744,3.7544,3.7648,3.7752,3.7856,3.796,3.8064,3.8168,3.8272,3.8376,3.848,3.8584,3.8688,3.8792,3.8896,3.9,3.9104,3.9208,3.9312,3.9416,3.952,3.9624,3.9728,3.9832,3.9936,4.004,4.0144,4.0248,4.0352,4.0456,4.056,4.0664,4.0768,4.0872,4.0976,4.108,4.1184,4.1288,4.1392,4.1496,4.16,4.1704,4.1808,4.1912,4.2016,4.212,4.2224,4.2328,4.2432,4.2536,4.264,4.2744,4.2848,4.2952,4.3056,4.316,4.3264,4.3368,4.3472,4.3576,4.368,4.3784,4.3888,4.3992,4.4096,4.42,4.4304,4.4408,4.4512,4.4616,4.472,4.4824,4.4928,4.5032,4.5136,4.524,4.5344,4.5448,4.5552,4.5656,4.576,4.5864,4.5968,4.6072,4.6176,4.628,4.6384,4.6488,4.6592,4.6696,4.68,4.6904,4.7008,4.7112,4.7216,4.732,4.7424,4.7528,4.7632,4.7736,4.784,4.7944,4.8048,4.8152,4.8256,4.836,4.8464,4.8568,4.8672,4.8776,4.888,4.8984,4.9088,4.9192,4.9296,4.94,4.9504,4.9608,4.9712,4.9816,4.992,5",5,"lsoda",4,1e-08,1e-12,FALSE,TRUE,TRUE,1e-04,TRUE,TRUE,1.6,TRUE,TRUE,FALSE,FALSE,"Bisphenol b","77-40-7",TRUE,"DTXSID4022442","C16H18O2","Bisphenol b|Dtxsid4022442|77-40-7",-6.901,"EPA-CCD-OPERA",NA,NA,3.765,"EPA-CCD-OPERA",5.225,"EPA-CCD-OPERA",-3.586,"EPA-CCD-OPERA",121,"EPA-CCD-OPERA",242.3,"EPA-CCD-OPERA"," ","ChemAxon","9.77,10.4","ChemAxon","Human",NA,NA,"EPA-CCD-OPERA","EPA-CCD-OPERA",NA,NA,"35.66",1e-04,"Wetmore 2015","Wetmore 2015",NA,NA,NA,NA,NA,NA,NA,NA,"0.01823","Wetmore 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"80-05-7","Bisphenol-a","oral","mg/kg","NULL","NULL","NULL","0,0.208333333333333,0.416666666666667,1,1.20833333333333,1.41666666666667,2,2.20833333333333,2.41666666666667,3,3.20833333333333,3.41666666666667,4,4.20833333333333,4.41666666666667,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06,9.9e-06","Human","pbtk","0,0,0,0,0,0,0,0,0,0,0","0,0.0104,0.0208,0.0312,0.0416,0.052,0.0624,0.0728,0.0832,0.0936,0.104,0.1144,0.1248,0.1352,0.1456,0.156,0.1664,0.1768,0.1872,0.1976,0.208,0.2184,0.2288,0.2392,0.2496,0.26,0.2704,0.2808,0.2912,0.3016,0.312,0.3224,0.3328,0.3432,0.3536,0.364,0.3744,0.3848,0.3952,0.4056,0.416,0.4264,0.4368,0.4472,0.4576,0.468,0.4784,0.4888,0.4992,0.5096,0.52,0.5304,0.5408,0.5512,0.5616,0.572,0.5824,0.5928,0.6032,0.6136,0.624,0.6344,0.6448,0.6552,0.6656,0.676,0.6864,0.6968,0.7072,0.7176,0.728,0.7384,0.7488,0.7592,0.7696,0.78,0.7904,0.8008,0.8112,0.8216,0.832,0.8424,0.8528,0.8632,0.8736,0.884,0.8944,0.9048,0.9152,0.9256,0.936,0.9464,0.9568,0.9672,0.9776,0.988,0.9984,1.0088,1.0192,1.0296,1.04,1.0504,1.0608,1.0712,1.0816,1.092,1.1024,1.1128,1.1232,1.1336,1.144,1.1544,1.1648,1.1752,1.1856,1.196,1.2064,1.2168,1.2272,1.2376,1.248,1.2584,1.2688,1.2792,1.2896,1.3,1.3104,1.3208,1.3312,1.3416,1.352,1.3624,1.3728,1.3832,1.3936,1.404,1.4144,1.4248,1.4352,1.4456,1.456,1.4664,1.4768,1.4872,1.4976,1.508,1.5184,1.5288,1.5392,1.5496,1.56,1.5704,1.5808,1.5912,1.6016,1.612,1.6224,1.6328,1.6432,1.6536,1.664,1.6744,1.6848,1.6952,1.7056,1.716,1.7264,1.7368,1.7472,1.7576,1.768,1.7784,1.7888,1.7992,1.8096,1.82,1.8304,1.8408,1.8512,1.8616,1.872,1.8824,1.8928,1.9032,1.9136,1.924,1.9344,1.9448,1.9552,1.9656,1.976,1.9864,1.9968,2.0072,2.0176,2.028,2.0384,2.0488,2.0592,2.0696,2.08,2.0904,2.1008,2.1112,2.1216,2.132,2.1424,2.1528,2.1632,2.1736,2.184,2.1944,2.2048,2.2152,2.2256,2.236,2.2464,2.2568,2.2672,2.2776,2.288,2.2984,2.3088,2.3192,2.3296,2.34,2.3504,2.3608,2.3712,2.3816,2.392,2.4024,2.4128,2.4232,2.4336,2.444,2.4544,2.4648,2.4752,2.4856,2.496,2.5064,2.5168,2.5272,2.5376,2.548,2.5584,2.5688,2.5792,2.5896,2.6,2.6104,2.6208,2.6312,2.6416,2.652,2.6624,2.6728,2.6832,2.6936,2.704,2.7144,2.7248,2.7352,2.7456,2.756,2.7664,2.7768,2.7872,2.7976,2.808,2.8184,2.8288,2.8392,2.8496,2.86,2.8704,2.8808,2.8912,2.9016,2.912,2.9224,2.9328,2.9432,2.9536,2.964,2.9744,2.9848,2.9952,3.0056,3.016,3.0264,3.0368,3.0472,3.0576,3.068,3.0784,3.0888,3.0992,3.1096,3.12,3.1304,3.1408,3.1512,3.1616,3.172,3.1824,3.1928,3.2032,3.2136,3.224,3.2344,3.2448,3.2552,3.2656,3.276,3.2864,3.2968,3.3072,3.3176,3.328,3.3384,3.3488,3.3592,3.3696,3.38,3.3904,3.4008,3.4112,3.4216,3.432,3.4424,3.4528,3.4632,3.4736,3.484,3.4944,3.5048,3.5152,3.5256,3.536,3.5464,3.5568,3.5672,3.5776,3.588,3.5984,3.6088,3.6192,3.6296,3.64,3.6504,3.6608,3.6712,3.6816,3.692,3.7024,3.7128,3.7232,3.7336,3.744,3.7544,3.7648,3.7752,3.7856,3.796,3.8064,3.8168,3.8272,3.8376,3.848,3.8584,3.8688,3.8792,3.8896,3.9,3.9104,3.9208,3.9312,3.9416,3.952,3.9624,3.9728,3.9832,3.9936,4.004,4.0144,4.0248,4.0352,4.0456,4.056,4.0664,4.0768,4.0872,4.0976,4.108,4.1184,4.1288,4.1392,4.1496,4.16,4.1704,4.1808,4.1912,4.2016,4.212,4.2224,4.2328,4.2432,4.2536,4.264,4.2744,4.2848,4.2952,4.3056,4.316,4.3264,4.3368,4.3472,4.3576,4.368,4.3784,4.3888,4.3992,4.4096,4.42,4.4304,4.4408,4.4512,4.4616,4.472,4.4824,4.4928,4.5032,4.5136,4.524,4.5344,4.5448,4.5552,4.5656,4.576,4.5864,4.5968,4.6072,4.6176,4.628,4.6384,4.6488,4.6592,4.6696,4.68,4.6904,4.7008,4.7112,4.7216,4.732,4.7424,4.7528,4.7632,4.7736,4.784,4.7944,4.8048,4.8152,4.8256,4.836,4.8464,4.8568,4.8672,4.8776,4.888,4.8984,4.9088,4.9192,4.9296,4.94,4.9504,4.9608,4.9712,4.9816,4.992,5",5,"lsoda",4,1e-08,1e-12,FALSE,TRUE,TRUE,1e-04,TRUE,TRUE,1.6,TRUE,TRUE,FALSE,FALSE,"Bisphenol-a","80-05-7",TRUE,"DTXSID7020182","C15H16O2","Bisphenol-a|Bisphenol a|Bisphenola|80-05-7|Dtxsid7020182",-6.903,"EPA-CCD-OPERA",4.46,"Endo 2011",3.32,"EPA-CCD-OPERA",5.06,"EPA-CCD-OPERA",-3.128,"EPA-CCD-OPERA",152.7,"EPA-CCD-OPERA",228.3,"EPA-CCD-OPERA"," ","ChemAxon","9.78,10.4","ChemAxon","Human|Rat",NA,NA,"EPA-CCD-OPERA","EPA-CCD-OPERA",NA,NA,"19.9,10.2,29.8,0",0,"Wambaugh 2019","Wambaugh 2019",NA,NA,NA,NA,NA,NA,NA,NA,"0.0385,0.0334,0.0456","Wambaugh 2019",0.7949,"TNO",NA,NA,NA,NA,NA,NA,NA,NA,"2.326",0.0835,"Wetmore 2013","Wetmore 2013",NA,NA,"0.7181","Wetmore 2013",NA,NA,""
